MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2017 to Sep 2025


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar
2017,Jan,03,1.5176,1.7808,1.4473
,,04,1.5076,1.7736,1.4489
,,05,1.5130,1.7719,1.4378
,,06,1.5159,1.7738,1.4316
,,09,1.5172,1.7645,1.4410
,,10,1.5210,1.7435,1.4327
,,11,1.5138,1.7467,1.4354
,,12,1.5144,1.7425,1.4276
,,13,1.5148,1.7362,1.4280
,,16,1.5166,1.7194,1.4297
,,17,1.5177,1.7242,1.4284
,,18,1.5180,1.7516,1.4190
,,19,1.5190,1.7528,1.4274
,,20,1.5216,1.7611,1.4239
,,23,1.5252,1.7644,1.4196
,,24,1.5253,1.7751,1.4170
,,25,1.5244,1.7799,1.4204
,,26,1.5211,1.7885,1.4142
,,27,1.5224,1.7929,1.4259
,,31,1.5183,1.7752,1.4196
,Feb,01,1.5256,1.7775,1.4136
,,02,1.5226,1.7872,1.4111
,,03,1.5200,1.7698,1.4132
,,06,1.5176,1.7576,1.4074
,,07,1.5139,1.7630,1.4138
,,08,1.5145,1.7721,1.4169
,,09,1.5142,1.7731,1.4163
,,10,1.5153,1.7775,1.4212
,,13,1.5121,1.7787,1.4241
,,14,1.5063,1.7803,1.4206
,,15,1.5022,1.7699,1.4193
,,16,1.5066,1.7689,1.4194
,,17,1.5129,1.7719,1.4174
,,20,1.5051,1.7602,1.4179
,,21,1.5030,1.7672,1.4207
,,22,1.4961,1.7728,1.4188
,,23,1.4949,1.7614,1.4148
,,24,1.4865,1.7628,1.4047
,,27,1.4841,1.7456,1.4049
,,28,1.4863,1.7455,1.4040
,Mar,01,1.4857,1.7406,1.4072
,,02,1.4861,1.7323,1.4110
,,03,1.4871,1.7345,1.4135
,,06,1.4971,1.7343,1.4118
,,07,1.4934,1.7269,1.4102
,,08,1.4898,1.7211,1.4099
,,09,1.4949,1.7260,1.4194
,,10,1.5047,1.7273,1.4201
,,13,1.5095,1.7183,1.4110
,,14,1.5071,1.7264,1.4146
,,15,1.5013,1.7194,1.4142
,,16,1.5073,1.7246,1.4058
,,17,1.5119,1.7338,1.4034
,,20,1.5048,1.7319,1.3985
,,21,1.5044,1.7295,1.3987
,,22,1.5126,1.7480,1.4013
,,23,1.5101,1.7473,1.3995
,,24,1.5086,1.7499,1.4009
,,27,1.5126,1.7469,1.3945
,,28,1.5143,1.7517,1.3940
,,29,1.5116,1.7347,1.3974
,,30,1.5005,1.7370,1.3956
,,31,1.4923,1.7452,1.3978
,Apr,03,1.4905,1.7505,1.3957
,,04,1.4902,1.7446,1.3968
,,05,1.4927,1.7401,1.3979
,,06,1.4963,1.7492,1.4016
,,07,1.4921,1.7478,1.4017
,,10,1.4898,1.7429,1.4076
,,11,1.4896,1.7482,1.4070
,,12,1.4859,1.7499,1.4015
,,13,1.4877,1.7513,1.3940
,,17,1.4812,1.7496,1.3950
,,18,1.4889,1.7570,1.3983
,,19,1.4983,1.7927,1.3974
,,20,1.4987,1.7881,1.3979
,,21,1.4979,1.7889,1.3977
,,24,1.5129,1.7846,1.3950
,,25,1.5136,1.7810,1.3936
,,26,1.5233,1.7879,1.3928
,,27,1.5221,1.7951,1.3950
,,28,1.5175,1.8033,1.3964
,May,02,1.5218,1.7991,1.3941
,,03,1.5236,1.8041,1.3938
,,04,1.5223,1.7986,1.3970
,,05,1.5394,1.8100,1.4015
,,08,1.5399,1.8186,1.4037
,,09,1.5375,1.8220,1.4067
,,11,1.5343,1.8260,1.4112
,,12,1.5317,1.8159,1.4091
,,15,1.5337,1.8100,1.4032
,,16,1.5361,1.8052,1.3981
,,17,1.5488,1.8028,1.3937
,,18,1.5512,1.8024,1.3902
,,19,1.5468,1.8037,1.3924
,,22,1.5526,1.8038,1.3871
,,23,1.5611,1.8019,1.3883
,,24,1.5546,1.8033,1.3904
,,25,1.5550,1.7956,1.3836
,,26,1.5524,1.7864,1.3858
,,29,1.5456,1.7747,1.3844
,,30,1.5441,1.7780,1.3874
,,31,1.5476,1.7753,1.3847
,Jun,01,1.5568,1.7826,1.3842
,,02,1.5552,1.7852,1.3863
,,05,1.5580,1.7789,1.3824
,,06,1.5555,1.7847,1.3803
,,07,1.5560,1.7819,1.3813
,,08,1.5560,1.7912,1.3827
,,09,1.5480,1.7637,1.3825
,,12,1.5503,1.7651,1.3835
